Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PERIGOL", 11, 1,    6327.29,   -0.1,   0.99629, 2,    6327.29, -120.1,   0.99629, 3,    6327.29,  119.9,   0.99629
"MANMOHAN_SINGH", 11, 1,    6327.27,   -0.1,   0.99629, 2,    6327.27, -120.1,   0.99629, 3,    6327.27,  119.9,   0.99629
"DHUMRE", 11, 1,     6327.3,   -0.1,   0.99629, 2,     6327.3, -120.1,   0.99629, 3,     6327.3,  119.9,   0.99629
"3_WAY_ROYAL_ENFIELD", 11, 1,    6327.41,   -0.1,   0.99631, 2,    6327.41, -120.1,   0.99631, 3,    6327.41,  119.9,   0.99631
"SHASHIKALA_PAI", 11, 1,    6327.59,   -0.1,   0.99634, 2,    6327.59, -120.1,   0.99634, 3,    6327.59,  119.9,   0.99634
"KAPILESHWARI", 11, 1,    6327.85,   -0.1,   0.99638, 2,    6327.85, -120.1,   0.99638, 3,    6327.85,  119.9,   0.99638
"3_WAY_RATHAMAL", 11, 1,    6327.81,   -0.1,   0.99637, 2,    6327.81, -120.1,   0.99637, 3,    6327.81,  119.9,   0.99637
"MATRUCHAYA", 11, 1,     6327.7,   -0.1,   0.99635, 2,     6327.7, -120.1,   0.99635, 3,     6327.7,  119.9,   0.99635
"SHANTINAGAR_INTERLINK", 11, 1,    6327.68,   -0.1,   0.99635, 2,    6327.68, -120.1,   0.99635, 3,    6327.68,  119.9,   0.99635
"3_WAY_SHANTINAGAR", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"VAMNESHWAR", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"GOLDEN_PROPERTIES", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"RITESH", 11, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"MG_SCHOOL_DTC", 11, 1,    6342.33,    0.0,   0.99866, 2,    6342.33, -120.0,   0.99866, 3,    6342.33,  120.0,   0.99866
"CHAFERAN_DTC", 11, 1,    6341.77,    0.0,   0.99857, 2,    6341.77, -120.0,   0.99857, 3,    6341.77,  120.0,   0.99857
"SHIGUMOMAND_DTC", 11, 1,    6341.44,    0.0,   0.99852, 2,    6341.44, -120.0,   0.99852, 3,    6341.44,  120.0,   0.99852
"MOGRU_DTC", 11, 1,    6339.15,    0.0,   0.99816, 2,    6339.15, -120.0,   0.99816, 3,    6339.15,  120.0,   0.99816
"SHAMRAO_BUILDERS_DTC", 11, 1,     6336.2,    0.0,   0.99769, 2,     6336.2, -120.0,   0.99769, 3,     6336.2,  120.0,   0.99769
"KUNAL_DTC", 11, 1,     6335.4,    0.0,   0.99757, 2,     6335.4, -120.0,   0.99757, 3,     6335.4,  120.0,   0.99757
"PEARL_DTC", 11, 1,    6335.11,    0.0,   0.99752, 2,    6335.11, -120.0,   0.99752, 3,    6335.11,  120.0,   0.99752
"MAHALAXMI_BANDORA_DTC", 11, 1,    6334.12,    0.0,   0.99736, 2,    6334.12, -120.0,   0.99736, 3,    6334.12,  120.0,   0.99736
"AGRA_SHALA_DTC", 11, 1,    6333.91,    0.0,   0.99733, 2,    6333.91, -120.0,   0.99733, 3,    6333.91,  120.0,   0.99733
"TILVE_RMU", 11, 1,    6333.01,    0.0,   0.99719, 2,    6333.01, -120.0,   0.99719, 3,    6333.01,  120.0,   0.99719
"HINDU_JAN_JAGRUTI_DTC", 11, 1,    6332.91,    0.0,   0.99717, 2,    6332.91, -120.0,   0.99717, 3,    6332.91,  120.0,   0.99717
"VAGDOR_DTC", 11, 1,    6332.85,    0.0,   0.99717, 2,    6332.85, -120.0,   0.99717, 3,    6332.85,  120.0,   0.99717
"NAGESHI_TEMPLE_DTC", 11, 1,    6332.24,    0.0,   0.99707, 2,    6332.24, -120.0,   0.99707, 3,    6332.24,  120.0,   0.99707
"DHONSHI_DTC", 11, 1,    6332.13,    0.0,   0.99705, 2,    6332.13, -120.0,   0.99705, 3,    6332.13,  120.0,   0.99705
"BANDORA_PANCHAYAT_RMU", 11, 1,    6331.93,    0.0,   0.99702, 2,    6331.93, -120.0,   0.99702, 3,    6331.93,  120.0,   0.99702
"KASHIMATHGROUND_DTC", 11, 1,    6331.68,    0.0,   0.99698, 2,    6331.68, -120.0,   0.99698, 3,    6331.68,  120.0,   0.99698
"RAINGUINIM", 11, 1,    6331.81,    0.0,     0.997, 2,    6331.81, -120.0,     0.997, 3,    6331.81,  120.0,     0.997
"3_WAY_SNEH_MANDIR", 11, 1,    6327.67,   -0.1,   0.99635, 2,    6327.67, -120.1,   0.99635, 3,    6327.67,  119.9,   0.99635
"3_WAY_KHARWADABUS1", 0.415, 1,    239.146,  -30.0,   0.99811, 2,    239.146, -150.0,   0.99811, 3,    239.146,   90.0,   0.99811
"RAM_MANDIRBUS1", 0.415, 1,    237.457,  -30.3,   0.99105, 2,    237.457, -150.3,   0.99105, 3,    237.457,   89.7,   0.99105
"DEMPO_HTCBUS1", 0.415, 1,    238.428,  -30.1,   0.99511, 2,    238.428, -150.1,   0.99511, 3,    238.428,   89.9,   0.99511
"RB_ENGGBUS1", 0.415, 1,    238.488,  -30.1,   0.99536, 2,    238.488, -150.1,   0.99536, 3,    238.488,   89.9,   0.99536
"UNDIR_BAKALEBUS1", 0.415, 1,    237.739,  -30.2,   0.99223, 2,    237.739, -150.2,   0.99223, 3,    237.739,   89.8,   0.99223
"MULEBHATBUS1", 0.415, 1,    236.261,  -30.5,   0.98606, 2,    236.261, -150.5,   0.98606, 3,    236.261,   89.5,   0.98606
"MARUTI_TEMPLEBUS1", 0.415, 1,    237.219,  -30.3,   0.99006, 2,    237.219, -150.3,   0.99006, 3,    237.219,   89.7,   0.99006
"CHIKALIBUS1", 0.415, 1,     236.46,  -30.4,   0.98689, 2,     236.46, -150.4,   0.98689, 3,     236.46,   89.6,   0.98689
"ADPAIBUS1", 0.415, 1,    236.774,  -30.4,    0.9882, 2,    236.774, -150.4,    0.9882, 3,    236.774,   89.6,    0.9882
"DURBHATBUS1", 0.415, 1,    237.288,  -30.3,   0.99035, 2,    237.288, -150.3,   0.99035, 3,    237.288,   89.7,   0.99035
"SEWERAGEBUS1", 0.415, 1,    238.067,  -30.2,    0.9936, 2,    238.067, -150.2,    0.9936, 3,    238.067,   89.8,    0.9936
"KASWADABUS1", 0.415, 1,    236.652,  -30.4,    0.9877, 2,    236.652, -150.4,    0.9877, 3,    236.652,   89.6,    0.9877
"LONDIYAR_WADEMBUS1", 0.415, 1,    236.097,  -30.5,   0.98538, 2,    236.097, -150.5,   0.98538, 3,    236.097,   89.5,   0.98538
"3_WAY_TALAULIMBUS1", 0.415, 1,     238.75,  -30.1,   0.99645, 2,     238.75, -150.1,   0.99645, 3,     238.75,   89.9,   0.99645
"NEW_TALAULIMBUS1", 0.415, 1,    236.407,  -30.4,   0.98667, 2,    236.407, -150.4,   0.98667, 3,    236.407,   89.6,   0.98667
"WADIBUS1", 0.415, 1,    237.327,  -30.3,   0.99051, 2,    237.327, -150.3,   0.99051, 3,    237.327,   89.7,   0.99051
"TALAULIMBUS1", 0.415, 1,    236.769,  -30.3,   0.98818, 2,    236.769, -150.3,   0.98818, 3,    236.769,   89.7,   0.98818
"MAHALAKSHMI_NAGARBUS1", 0.415, 1,    236.195,  -30.4,   0.98579, 2,    236.195, -150.4,   0.98579, 3,    236.195,   89.6,   0.98579
"PAUNWADABUS1", 0.415, 1,    237.183,  -30.3,   0.98991, 2,    237.183, -150.3,   0.98991, 3,    237.183,   89.7,   0.98991
