Year, LDCurve, Hour, Meter, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "11 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "11 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "11 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "11 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "11 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0, , 48, "UNDIRFEEDER" ,      94060,      47053,       3294,       3703,      92059,      44615,       3205,       3561,          0,          0,          0,          0,       2001,       2438,         89,        140,       1442,       2438,        560,          0,         78,         12,       1018,        983,       1018,          0,       1018,          0,          0,          0,          0,          0,       2001,          0,          0,          0,          0,          0,          0,       1018,          0,          0,          0,          0,          0,          0,        424,          0,          0,          0,          0,          0,          0,        560,          0,          0,          0,          0,          0,          0,      92059,          0,          0,          0,          0,          0,          0
0, , 48, "FEEDERMAIN"  ,      99599,      50381,       3434,       3856,      97275,      47111,       3335,       3706,        319,         17,      15672,         17,       2324,       3270,         98,        140,       2324,       3270,          0,          0,         98,          0,        348,       1976,        348,          0,        348,          0,          0,          0,          0,          0,       2324,          0,          0,          0,          0,          0,          0,        348,          0,          0,          0,          0,          0,          0,       1976,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      97275,          0,          0,          0,          0,          0,          0
0, , 48, "FEEDERPONDA" ,     143389,      72129,       4102,       4604,     139466,      67546,       3960,       4399,          0,          0,      27336,          0,       3923,       4584,        143,        173,       3923,       4584,          0,          0,        143,          0,       1689,       2233,       1689,          0,       1689,          0,          0,          0,          0,          0,       3923,          0,          0,          0,          0,          0,          0,       1689,          0,          0,          0,          0,          0,          0,       2233,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,     139466,          0,          0,          0,          0,          0,          0
0, , 48, "FEEDERKHADPABANDH",      15357,      39001,        966,       1628,     184720,      89462,       5757,       6396,          0,          0,      14552,          0,       5090,       5675,        211,        248,       5090,       5675,          0,          0,        211,          0,       2343,       2747,       2343,          0,       2343,          0,          0,          0,          0,          0,       5090,          0,          0,          0,          0,          0,          0,       2343,          0,          0,          0,          0,          0,          0,       2747,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,     184720,          0,          0,          0,          0,          0,          0
0, , 48, "FARMAGUDIFEEDER",     175115,      56564,       5026,       5319,          0,          0,          0,          0,          0,          0,          0,          0,        662,        428,         24,         15,        662,        428,          0,          0,         24,          0,        662,          0,        662,          0,        662,          0,          0,          0,          0,          0,        662,          0,          0,          0,          0,          0,          0,        662,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
