Year, LDCurve, Hour, Meter, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "11 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "11 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "11 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "11 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "11 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0, , 48, "UNDIRFEEDER" ,      94060,      47053,       3294,       3703,      92059,      44615,       3205,       3561,          0,          0,          0,          0,       2001,       2438,         89,        140,       1442,       2438,        560,          0,         78,         12,       1018,        983,       1018,          0,       1018,          0,          0,          0,          0,          0,       2001,          0,          0,          0,          0,          0,          0,       1018,          0,          0,          0,          0,          0,          0,        424,          0,          0,          0,          0,          0,          0,        560,          0,          0,          0,          0,          0,          0,      92059,          0,          0,          0,          0,          0,          0
0, , 48, "FEEDERMAIN"  ,     100495,      44736,       3485,       3868,      99207,      48047,       3437,       3819,          0,          0,          8,          0,       1288,      -3311,         48,        135,        929,      -3311,        359,          0,         40,          8,        403,        885,        403,          0,        403,          0,          0,          0,          0,          0,       1288,          0,          0,          0,          0,          0,          0,        403,          0,          0,          0,          0,          0,          0,        526,          0,          0,          0,          0,          0,          0,        359,          0,          0,          0,          0,          0,          0,      99207,          0,          0,          0,          0,          0,          0
0, , 48, "FEEDERPONDA" ,     145033,      72962,       4167,       4677,     141040,      68308,       4021,       4468,          0,          0,      13667,          0,       3994,       4654,        146,        176,       3994,       4654,          0,          0,        146,          0,       1734,       2260,       1734,          0,       1734,          0,          0,          0,          0,          0,       3994,          0,          0,          0,          0,          0,          0,       1734,          0,          0,          0,          0,          0,          0,       2260,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,     141040,          0,          0,          0,          0,          0,          0
0, , 48, "FEEDERKHADPABANDH",      54560,      48581,       2068,       2603,     185583,      89879,       5819,       6465,          0,          0,       6964,          0,       4643,       5386,        201,        243,       4643,       5386,          0,          0,        201,          0,       1889,       2754,       1889,          0,       1889,          0,          0,          0,          0,          0,       4643,          0,          0,          0,          0,          0,          0,       1889,          0,          0,          0,          0,          0,          0,       2754,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,     185583,          0,          0,          0,          0,          0,          0
0, , 48, "FARMAGUDIFEEDER",     136068,      46943,       3966,       4237,          0,          0,          0,          0,          0,          0,          0,          0,        404,        259,         15,         10,        404,        259,          0,          0,         15,          0,        404,          0,        404,          0,        404,          0,          0,          0,          0,          0,        404,          0,          0,          0,          0,          0,          0,        404,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
