Multiplying Factor,80,80,80,80,80,80,80,,80,80,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,,80,80,80,80
Meter Number,641,849,2141,1917,,,0427/05/17,,1991,2089,427/05/32,427/05/32,1953,1980,1975,2044,0427/05/21,0427/05/18,1982,,,427/05/34,,1994,1992,1985,1985,0427/05/09,0427/05/10,0427/05/01,0427/05/02,No energy meter,0427/05/08,0427/05/12,0427/05/04,2024,427/05/33,0427/05/13,0427/05/03,0427/05/05,1929,8,0427/05/11,21,1988,,27,1993,1989,1990,1987,1986,0427/05/24,427/01/66,0427/05/16,1978,2009,0427/05/06
Vector Group,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,DY-11,Dyn-11,,Dyn-11,Dyn-11,,,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,,Dyn11,Dyn11,Dy11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dy n-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dy-11,Dyn11,Dyn11,,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,,Dyn11,Dyn11,Dyn11,Dyn11
[Reactive Energy Consumed]kVArh,36.27,119.18,4.69,186.62,CT not connected,839.37,523.11,,261.14,261.7,,,480.84,86.16,808.2,93.31,energy meter not present,energy meter not present,413.41,711.53,energy meter not present,energy meter not present,energy meter not present,362.54,250.1,348.82,480.84,CT not connected,CT not connected ,CT not connected,0.19,,0.19,0.21,0.2,0.79,1.3,0.19,4.69,86.16,161.553,480.84,247.17,36.27,127.47,,CT not connected,248.9,165.72,94.15,392.09,1.3,energy meter not present,261.7,480.84,133.91,124,energy meter not present
[Real Energy Consumed]kWh,1302.39,1258.7,268.51,957.44,,1274.33,999.256,,4108.9,1610.35,,,2729.87,611.81,5668.53,1785.6,,,3701.68,69.4,,,,4595.21,1431.44,3576.53,2729.87,,,,2.041,,2.032,2.051,2.047,4.06,45.39,2.041,268.51,611.81,1187.38,2729.87,1428.41,1302.39,1812.6,,,1430.41,2866.67,1248.3,3524.98,45.39,,1610.35,2722.78,1219.07,1314.55,
[Apparent Energy Consumed]kVAh,1304.92,1264.33,268.87,977.67,,1525.93,1127.9,,4117.2,16353.31,,,2771.9,620.77,5754.65,1792.08,,,3728.6,714.93,,,,4613.31,1453.42,3597.32,2771.9,,,,2.05,,2.04,2.07,2.06,4.16,45.53,2.05,268.87,620.77,1198.32,2771.9,1449.49,1304.92,1818.86,,,1451.49,2875.63,1251.87,3546.72,45.53,,1635.31,2771.9,1226.41,1321.99,
Real Power[kW],1.028,0.74,0.248,0.618,,0.7853,1.8024,,0.79,0.576,,,0.682,0.184,1.16,0.3,,,0.914,1.506,,,,0.922,0.342,1.558,0.682,,,,0.2,,0.2,0.2,0.2,0.184,0.158,0.2,0.248,0.184,0,0.682,0.347,1.028,0.902,,,0.342,0.676,0.696,1.296,0.158,,0.576,0.682,0.488,0.742,
Reactive Power[kVAr],0.258,0.038,0.144,0.295,,0.146,0.466,,0.682,0.283,,,0.248,0.078,0.358,0.35,,,0.21,0.134,,,,0.27,0.135,0.721,0.248,,,,0.46,,0.774,0.45,0.46,0.078,0.084,0.46,0.144,0.078,0.214,0.248,0.138,0.258,0.264,,,0.135,0.052,0.064,0.485,0.084,,0.283,0.736,0.108,0.349,
Apparent Power[kVA],1.06,0.741,0.322,0.685,,0.7988,1.8625,,1.044,0.642,,,0.726,0.2,1.214,0.27,,,0.938,1.512,,,,0.963,0.368,1.674,0.726,,,,0.502,,0.8,0.51,0.502,0.2,0.133,0.502,0.322,0.2,0.364,0.726,0.371,1.06,0.94,,,0.368,0.678,0.699,1.384,0.133,,0.642,0.276,0.5,0.82,
Frequency[Hz],50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Conductor Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
%R,1.013333333,1.013333333,0.7416666667,1.013333333,0.7416666667,0.728042328,1.013333333,#VALUE!,1.013333333,0.7416666667,#VALUE!,#VALUE!,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.033333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,0,1.013333333,1.013333333,1.013333333,1.013333333,1.566666667,1.013333333,1.013333333,1.013333333,#VALUE!,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,1.013333333,#VALUE!,1.013333333,1.013333333,1.013333333,1.013333333
%X,4.230325703,3.921180378,4.438460381,4.178894059,4.438460381,4.319068692,4.384421918,#VALUE!,4.384421918,4.438460381,#VALUE!,#VALUE!,4.384421918,4.178894059,4.384421918,4.384421918,4.384421918,4.384421918,6.420526112,4.384421918,4.548489371,4.384421918,4.178894059,4.384421918,4.384421918,4.384421918,4.384421918,4.379751388,4.178894059,4.384421918,4.384421918,4.384421918,4.384421918,4.384421918,4.384421918,4.148018268,0,4.384421918,4.281723433,4.384421918,4.384421918,#VALUE!,4.661121706,4.497249777,4.384421918,#VALUE!,4.384421918,4.384421918,4.384421918,4.384421918,4.384421918,4.384421918,4.189183161,#VALUE!,4.199470866,4.384421918,4.189183161,4.384421918
Iron Loss,273.3333333,273.3333333,483.3333333,273.3333333,483.3333333,713.3333333,273.3333333,0,273.3333333,483.3333333,0,0,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,233.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,0,273.3333333,273.3333333,273.3333333,273.3333333,83.33333333,273.3333333,273.3333333,273.3333333,0,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,273.3333333,0,273.3333333,273.3333333,273.3333333,273.3333333
%No Load Loss,0.1366666667,0.1366666667,0.1208333333,0.1366666667,0.1208333333,0.1132275132,0.1366666667,#VALUE!,0.1366666667,0.1208333333,#VALUE!,#VALUE!,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1166666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.08333333333,0.1366666667,0.1366666667,0.1366666667,#VALUE!,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,0.1366666667,#VALUE!,0.1366666667,0.1366666667,0.1366666667,0.1366666667
