Multiplying Factor,80,80,80,80,80,80,80,,80,80,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,,80,80,80,80
Meter Number,641,849,2141,1917,,,0427/05/17,,1991,2089,427/05/32,427/05/32,1953,1980,1975,2044,0427/05/21,0427/05/18,1982,,,427/05/34,,1994,1992,1985,1985,0427/05/09,0427/05/10,0427/05/01,0427/05/02,No energy meter,0427/05/08,0427/05/12,0427/05/04,2024,427/05/33,0427/05/13,0427/05/03,0427/05/05,1929,8,0427/05/11,21,1988,,27,1993,1989,1990,1987,1986,0427/05/24,427/01/66,0427/05/16,1978,2009,0427/05/06
Vector Group,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,DY-11,Dyn-11,,Dyn-11,Dyn-11,,,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,,Dyn11,Dyn11,Dy11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dy n-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dy-11,Dyn11,Dyn11,,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,,Dyn11,Dyn11,Dyn11,Dyn11
HV Current[A],10.5,10.497,21,10.497,21,33.06,10.5,,10.5,21,,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.5,10.497,10.5,10.5,10.49,10.5,10.5,10.5,10.497,,10.49,10.49,10.49,10.5,5.25,10.49,10.49,10.5,,10.5,10.5,10.5,10.5,10.5,10.49,10.497,,10.497,10.5,10.5,10.5
LV Current[A],266.68,266.68,533.34,266.68,533.34,840,266.68,,266.68,533.34,,,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.68,266.64,266.68,266.68,266.68,266.68,,266.68,266.68,266.68,266.68,133.3,166.68,266.68,266.68,,266.68,266.68,266.68,266.68,266.68,266.68,266.68,,266.68,266.68,266.68,266.68
Date,09-10-25,09-10-25,09-10-25,09-10-25,09-10-25,09-10-25,09-10-25,10-10-25,09-10-25,25-9-25,25-9-25,25-9-25,25-9-25,8-10-25,8-10-25,8-10-25,8-10-25,8-10-25,24-9-25,24-9-25,24-9-25,24-9-25,24-9-25,24-9-25,24-9-25,24-9-25,24-9-25,25-9-25,25-9-25,25-9-25,10-10-25,10-10-25,10-10-25,10-10-25,10-10-25,10-10-25,09-10-25,09-10-25,09-10-25,09-10-25,09.10.2025,25-9-25,25-9-25,25-9-25,25-9-25,25-9-25,25-9-25,25-9-25,25-9-25,25-9-25,25-9-25,24-9-25,25-9-25,25-9-25,25-9-25,25-9-25,09-10-25,09-10-25
Time,11.46,11.53,11.58,12.05,12.12,12.19,3.24,4.1,3.15,3.1,3.21,3.21,3.23,11.57,11.36,11.44,12.09,12.23,2.52,3.02,3.17,3.19,3.27,3.35,3.43,3.5,4.17,4.02,4.1,4.16,3.56,3.49,3.44,3.41,3.33,3.28,3.52,3.55,3.42,3.46,12.28,3.51,3.57,3.42,12.28,12.23,12.15,12.08,11.59,11.54,11.45,3.56,3.07,3.1,3.3,3.35,3.3,3.36
RMU Serial Number,SAB01230094,SAB01230095,SAB01230167,SAB01230090,SAB11233353,908418,SAB08232363,,SAB01230101,SAB03241116,SAB01230098,SAB08232365,SAB01230097,SAB01240056,SAB01240061,SAB01240067,SAB12233548,SAB12233555,SAB01230105,SAB01230103,SAB01230096,SAB06241989,SAB01230083,SAB01230093,SAB01230085,SAB01230176,SAB01230086,SAB01230099,SAB01230109,SAAB01230100,SAB01230102,SAB02240431,SAB01230107,SAB11233391,SAB11233389,SAB1240063,SAB03241173,SAB01230166,SAB08232185,SAB02240515,SAB01240351,SAB06241988,SAB01230106,SAB01230108,SAB01230094,SAB01230087,SAB01230092,SAB08232362,SAB01230088,SAB01230104,SAB01230177,SAB01230084,SAB03240813,SAB08232364,MYR0706-01,SAB03240938,SAB03240899,SAB11233392
Total Loss[100%][W],2300,2300,3450,2300,3450,5300,2300,,2300,3450,,,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,,2300,2300,2300,2300,1650,2300,2300,2300,,2300,2300,2300,2300,2300,2300,2300,,2300,2300,2300,2300
Total Loss[50%][W],780,780,1225,780,1225,1860,780,,780,1225,,,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,750,780,780,780,780,780,780,780,780,,780,780,780,780,475,780,780,780,,780,780,780,780,780,780,780,,780,780,780,780
Copper Loss[Pcu][W],2026.666667,2026.666667,2966.666667,2026.666667,2966.666667,4586.666667,2026.666667,0,2026.666667,2966.666667,0,0,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2066.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,0,2026.666667,2026.666667,2026.666667,2026.666667,1566.666667,2026.666667,2026.666667,2026.666667,0,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,2026.666667,0,2026.666667,2026.666667,2026.666667,2026.666667
% Impedence[Z],4.35,4.05,4.5,4.3,4.5,4.38,4.5,,4.5,4.5,,,4.5,4.3,4.5,4.5,4.5,4.5,6.5,4.5,4.66,4.5,4.3,4.5,4.5,4.5,4.5,4.5,4.3,4.5,4.5,4.5,4.5,4.5,4.5,4.27,,4.5,4.4,4.5,4.5,4..5,4.77,4.61,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.31,,4.32,4.5,4.31,4.5
Zbase[Secondary],0.937445,0.937445,0.4687225,0.937445,0.4687225,0.2976015873,0.937445,#VALUE!,0.937445,0.4687225,#VALUE!,#VALUE!,0.937445,0.937445,#REF!,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0,0.937445,0.937445,0.937445,0.937445,1.87489,0.937445,0.937445,0.937445,#VALUE!,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,0.937445,#VALUE!,0.937445,0.937445,0.937445,0.937445
"Zbase[Primary]
",605,605,302.5,605,302.5,192.0634921,605,#VALUE!,605,302.5,#VALUE!,#VALUE!,605,605,#REF!,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,#DIV/0!,605,605,605,605,1210,605,605,605,#VALUE!,605,605,605,605,605,605,605,#VALUE!,605,605,605,605
Zactual[Seconary],0.0407788575,0.0379665225,0.0210925125,0.040310135,0.0210925125,0.01303494952,0.042185025,#VALUE!,0.042185025,0.0210925125,#VALUE!,#VALUE!,0.042185025,0.040310135,#REF!,0.042185025,0.042185025,0.042185025,0.060933925,0.042185025,0.043684937,0.042185025,0.040310135,0.042185025,0.042185025,0.042185025,0.042185025,0.042185025,0.040310135,0.042185025,0.042185025,0.042185025,0.042185025,0.042185025,0.042185025,0.0400289015,0,0.042185025,0.04124758,0.042185025,0.042185025,#VALUE!,0.0447161265,0.0432162145,0.042185025,#VALUE!,0.042185025,0.042185025,0.042185025,0.042185025,0.042185025,0.042185025,0.0404038795,#VALUE!,0.040497624,0.042185025,0.0404038795,0.042185025
Zactual[Primary],26.3175,24.5025,13.6125,26.015,13.6125,8.412380952,27.225,#VALUE!,27.225,13.6125,#VALUE!,#VALUE!,27.225,26.015,#REF!,27.225,27.225,27.225,39.325,27.225,28.193,27.225,26.015,27.225,27.225,27.225,27.225,27.225,26.015,27.225,27.225,27.225,27.225,27.225,27.225,25.8335,#DIV/0!,27.225,26.62,27.225,27.225,#VALUE!,28.8585,27.8905,27.225,#VALUE!,27.225,27.225,27.225,27.225,27.225,27.225,26.0755,#VALUE!,26.136,27.225,26.0755,27.225
Resistance_actual[Secondary],0.009499050071,0.009499050071,0.003476475588,0.009499050071,0.003476475588,0.002166792643,0.009499050071,#DIV/0!,0.009499050071,0.003476475588,#DIV/0!,#DIV/0!,0.009499050071,0.009499050071,#REF!,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009686531323,0.009499050071,0.009499050071,0.009499050071,0.009501900285,0.009499050071,0.009499050071,0.009499050071,0.009499050071,#DIV/0!,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.02938969301,0.02431610927,0.009499050071,0.009499050071,#DIV/0!,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,0.009499050071,#DIV/0!,0.009499050071,0.009499050071,0.009499050071,0.009499050071
Reactance_actual[Secondary],0.03965707083,0.03675901085,0.0208040429,0.03917492861,0.0208040429,0.01285359556,0.04110163478,#VALUE!,0.04110163478,0.0208040429,#VALUE!,#VALUE!,0.04110163478,0.03917492861,#REF!,0.04110163478,0.04110163478,0.04110163478,0.06018896297,0.04110163478,0.04263967364,0.04110163478,0.03917492861,0.04110163478,0.04110163478,0.04110163478,0.04110163478,0.04105785485,0.03917492861,0.04110163478,0.04110163478,0.04110097596,0.04110163478,0.04110163478,0.04110163478,0.03888548576,#DIV/0!,0.04110163478,0.04013889515,0.04110163478,0.04110163478,#VALUE!,0.03752677443,0.04215933163,0.04110163478,#VALUE!,0.04110163478,0.04110163478,0.04110163478,0.04110163478,0.04110163478,0.04110163478,0.03927138305,#VALUE!,0.03936782439,0.04110163478,0.03927138305,0.04110163478
Resistance_actual[Primary],6.127488032,6.130990955,2.242378433,6.130990955,2.242378433,1.398847033,6.127488032,#DIV/0!,6.127488032,2.242378433,#DIV/0!,#DIV/0!,6.127488032,6.127488032,#REF!,6.127488032,6.127488032,6.127488032,6.127488032,6.127488032,6.139176133,6.139176133,6.139176133,6.139176133,6.139176133,6.139176133,6.139176133,6.248425296,6.130990955,6.127488032,6.127488032,6.139176133,6.127488032,6.127488032,6.127488032,6.130990955,#DIV/0!,6.139176133,6.139176133,6.139176133,6.127488032,18.94683799,6.139176133,6.139176133,6.127488032,#DIV/0!,6.127488032,6.127488032,6.127488032,6.127488032,6.127488032,6.139176133,6.130990955,#DIV/0!,6.130990955,6.127488032,6.127488032,6.127488032
Reactance_actual[Primary],25.59423171,23.72305748,13.42653698,25.28223042,13.42653698,8.295262519,26.52648705,#VALUE!,26.52648705,13.42653698,#VALUE!,#VALUE!,26.52648705,25.28307963,#REF!,26.52648705,26.52648705,26.52648705,38.84468452,26.52648705,27.51646353,26.52378445,25.28024409,26.52378445,26.52378445,26.52378445,26.52378445,26.49826044,25.28223042,26.52648705,26.52648705,26.52378445,26.52648705,26.52648705,26.52648705,25.0954313,#DIV/0!,26.52378445,25.9024114,26.52378445,26.52648705,#VALUE!,28.19793501,27.20644237,26.52648705,#VALUE!,26.52648705,26.52648705,26.52648705,26.52648705,26.52648705,26.52378445,25.34447968,#VALUE!,25.40672049,26.52648705,25.3453268,26.52648705
Vrn[R phase Voltage],234.15,234,236,235,237,234,238,,248,239.78,,,244,235,234,235.45,236.3,233,240.33,242,235,246,244,243,243,243,244,248,245,245,237,Damaged Panel,236,235.47,235,236,240,238,239,239,242,244,243,239.43,245,,249,246,247,244,245,242,238,239,244,244,239,244
Vyn[Y phase Voltage],234.77,233,239,236,237,231,238,,239,239.84,,,245,233,233,236.45,236.6,241,241,241,233,246,244,242,245,242,245,246,247,247,234,,237,233.4,236,238,240,239,239.37,239,240,245,244,239.09,247,,249.22,246,246,244,242,243,240,240,245,243,238,241
Vbn[B phase Voltage],234.93,236,237,237,234,240,237,,239,238.15,,,243,234,233,235.85,236.7,236,240.1,242,234,248,245,242,246,244,243,247,245,242,237,,233,231.8,234,238,241,238,239.2,238,242,243,241,240.1,247,,249.4,248,245,245,241,243,240,239,243,243,240,242
Ir[R phase Current],1.08,0.6,37,0.33,0.5,31,17,,16,0.43,,,0.64,19,1.47,0.41,15.07,10.09,59,58,19,0.31,0.53,56,0.32,58,0.64,6.77,20.1,8.37,28.9,,73.4,2.75,51.9,0.31,18.05,0.53,42,51.5,5.01,0.64,7.78,0.3,0.61,,0.41,0.31,48,0.53,70,0.14,46.23,0.43,0.64,0.26,0.76,0.52
Iy[Y phase Current],0.93,0.5,31,0.77,0.71,30,19,,14,0.4,,,0.33,6,1.39,0.41,15,13,34,50,6,0.14,0.49,52,0.15,63,0.33,6.08,19,7.15,43.9,,56.8,2.04,50,0.14,17.66,0.49,22,29.8,7.3,0.33,5.81,0.26,0.29,,0.35,0.14,21,0.49,67,0.09,45,0.36,0.2,0.08,0.34,0.77
Ib[B phase Current],0.62,0.97,30,0.6,0.66,33,42,,16,0.36,,,0.2,4,1.17,0.43,15.1,14.12,66,68,4,0.25,"0,28",61,0.27,48,0.2,9.68,21.5,3.51,19.6,,68.6,3.2,54.3,0.25,19.75,"0,28",17,55.9,2.6,0.2,5.91,0.36,0.75,,0.43,0.25,35,"0,28",65,0.03,45,0.43,0.33,0.03,0.39,0.61
